modelName,modelPath,sourceLanguages,targetLanguages,sourceLanguage,targetLanguage,modelURL,description,prependTargetLanguage
opus-mt-tc-bible-big-cel-deu_eng_fra_por_spa,Helsinki-NLP/opus-mt-tc-bible-big-cel-deu_eng_fra_por_spa,bre cor cym gla gle glv,deu eng fra por spa,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-bible-big-cel-deu_eng_fra_por_spa,Neural machine translation model for translating from Celtic languages (cel) to unknown (deu+eng+fra+por+spa).,True
opus-mt-tc-bible-big-deu_eng_fra_por_spa-aav,Helsinki-NLP/opus-mt-tc-bible-big-deu_eng_fra_por_spa-aav,deu eng fra por spa,bru cmo hoc jun kha khm kxm mnw ngt sat vie wbm,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-bible-big-deu_eng_fra_por_spa-aav,Neural machine translation model for translating from unknown (deu+eng+fra+por+spa) to Austro-Asiatic languages (aav).,True
opus-mt-tc-bible-big-deu_eng_fra_por_spa-afa,Helsinki-NLP/opus-mt-tc-bible-big-deu_eng_fra_por_spa-afa,deu eng fra por spa,aar acm afb amh apc ara arc arq arz bcw byn cop daa dsh gde gnd hau hbo heb hig irk jpa kab ker kqp ktb kxc lln lme meq mfh mfi mfk mif mlt mpg mqb muy oar orm pbi phn rif sgw shi shy som sur syc syr taq thv tig tir tmc tmh tmr ttr tzm wal xed zgh,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-bible-big-deu_eng_fra_por_spa-afa,Neural machine translation model for translating from unknown (deu+eng+fra+por+spa) to Afro-Asiatic languages (afa).,True
opus-mt-tc-bible-big-deu_eng_fra_por_spa-bat,Helsinki-NLP/opus-mt-tc-bible-big-deu_eng_fra_por_spa-bat,deu eng fra por spa,lav lit prg sgs,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-bible-big-deu_eng_fra_por_spa-bat,Neural machine translation model for translating from unknown (deu+eng+fra+por+spa) to Baltic languages (bat).,True
opus-mt-tc-bible-big-deu_eng_fra_por_spa-bnt,Helsinki-NLP/opus-mt-tc-bible-big-deu_eng_fra_por_spa-bnt,deu eng fra por spa,bas bem bnt bss cce cjk cwe dig dug gog gwr hay heh her jmc kam kdc kdn kik kin kki kkj kmb kng kon ksb kua ldi lem lin lon lsm lua lug luy mcp myx nbl nde ndo nim nnb nso nuj nya nyf nyn nyo nyy old ozm pkb rim run seh sna sot ssw suk swa swc swh sxb thk tlj toh toi tsn tso tum umb ven vmw vun wmw xho xog zul,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-bible-big-deu_eng_fra_por_spa-bnt,Neural machine translation model for translating from unknown (deu+eng+fra+por+spa) to Bantu languages (bnt).,True
opus-mt-tc-bible-big-deu_eng_fra_por_spa-fiu,Helsinki-NLP/opus-mt-tc-bible-big-deu_eng_fra_por_spa-fiu,deu eng fra por spa,chm est fin fkv hun izh koi kom kpv krl liv mdf mrj myv sma sme smn udm vep vot vro,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-bible-big-deu_eng_fra_por_spa-fiu,Neural machine translation model for translating from unknown (deu+eng+fra+por+spa) to Finno-Ugrian languages (fiu).,True
opus-mt-tc-bible-big-deu_eng_fra_por_spa-gem,Helsinki-NLP/opus-mt-tc-bible-big-deu_eng_fra_por_spa-gem,deu eng fra por spa,afr ang bar bis bzj dan deu djk drt eng enm fao frr fry gos got gsw hrx hwc icr isl jam kri ksh lim ltz nds nld nno nob non nor ofs pcm pdc pfl pih pis rop sco srm srn stq swe swg tcs tpi vls wae yid zea,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-bible-big-deu_eng_fra_por_spa-gem,Neural machine translation model for translating from unknown (deu+eng+fra+por+spa) to Germanic languages (gem).,True
opus-mt-tc-bible-big-deu_eng_fra_por_spa-gmq,Helsinki-NLP/opus-mt-tc-bible-big-deu_eng_fra_por_spa-gmq,deu eng fra por spa,dan fao isl nno nob non nor swe,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-bible-big-deu_eng_fra_por_spa-gmq,Neural machine translation model for translating from unknown (deu+eng+fra+por+spa) to North Germanic languages (gmq).,True
opus-mt-tc-bible-big-deu_eng_fra_por_spa-gmw,Helsinki-NLP/opus-mt-tc-bible-big-deu_eng_fra_por_spa-gmw,deu eng fra por spa,afr ang bar bis bzj deu djk drt eng enm frr fry gos gsw hrx hwc icr jam kri ksh lim ltz nds nld ofs pcm pdc pfl pih pis rop sco srm srn stq swg tcs tpi vls wae yid zea,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-bible-big-deu_eng_fra_por_spa-gmw,Neural machine translation model for translating from unknown (deu+eng+fra+por+spa) to West Germanic languages (gmw).,True
opus-mt-tc-bible-big-deu_eng_fra_por_spa-iir,Helsinki-NLP/opus-mt-tc-bible-big-deu_eng_fra_por_spa-iir,deu eng fra por spa,anp asm awa bal ben bho bpy ckb diq div dty fas gbm glk guj hif hin hne hns jdt kas kmr kok kur lah lrc mag mai mar mzn nep npi ori oss pal pan pes pli prs pus rhg rmy rom san sdh sin skr snd syl tgk tly urd zza,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-bible-big-deu_eng_fra_por_spa-iir,Neural machine translation model for translating from unknown (deu+eng+fra+por+spa) to Indo-Iranian languages (iir).,True
opus-mt-tc-bible-big-deu_eng_fra_por_spa-inc,Helsinki-NLP/opus-mt-tc-bible-big-deu_eng_fra_por_spa-inc,deu eng fra por spa,anp asm awa ben bho bpy div dty gbm guj hif hin hne hns kas kok lah mag mai mar nep npi ori pan pli rhg rmy rom san sin skr snd syl urd,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-bible-big-deu_eng_fra_por_spa-inc,Neural machine translation model for translating from unknown (deu+eng+fra+por+spa) to Indic languages (inc).,True
opus-mt-tc-bible-big-deu_eng_fra_por_spa-ine,Helsinki-NLP/opus-mt-tc-bible-big-deu_eng_fra_por_spa-ine,deu eng fra por spa,acf afr aln ang anp arg asm ast awa bal bar bel ben bho bis bos bpy bre bul bzj cat cbk ces chu ckb cnr cor cos crs csb cym dan deu diq div djk drt dsb dty egl ell eng enm ext fao fas fra frm fro frp frr fry fur gbm gcf gla gle glg glk glv gos got grc gsw guj hat hbs hif hin hne hns hrv hrx hsb hwc hye hyw icr isl ita jam jdt kas kea kmr kok kri ksh kur lad lah lat lav lij lim lit lld lmo lou lrc ltz mag mai mar mfe mkd mol mwl mzn nap nds nep nld nno nob non nor npi oci ofs ori orv osp oss pal pan pap pcd pcm pdc pes pfl pih pis pli pms pnt pol por prg prs pus rhg rmy roh rom ron rop rue rup rus san scn sco sdh sgs sin skr slk slv snd spa sqi srd srm srn srp stq swe swg syl szl tcs tgk tly tpi ukr urd vec vls wae wln xcl yid zea zza,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-bible-big-deu_eng_fra_por_spa-ine,Neural machine translation model for translating from unknown (deu+eng+fra+por+spa) to Indo-European languages (ine).,True
opus-mt-tc-bible-big-deu_eng_fra_por_spa-itc,Helsinki-NLP/opus-mt-tc-bible-big-deu_eng_fra_por_spa-itc,deu eng fra por spa,acf arg ast cat cbk cos crs egl ext fra frm fro frp fur gcf glg hat ita kea lad lat lij lld lmo lou mfe mol mwl nap oci osp pap pcd pms por roh ron rup scn spa srd vec wln,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-bible-big-deu_eng_fra_por_spa-itc,Neural machine translation model for translating from unknown (deu+eng+fra+por+spa) to Italic languages (itc).,True
opus-mt-tc-bible-big-deu_eng_fra_por_spa-mkh,Helsinki-NLP/opus-mt-tc-bible-big-deu_eng_fra_por_spa-mkh,deu eng fra por spa,bru cmo kha khm kxm mnw ngt vie wbm,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-bible-big-deu_eng_fra_por_spa-mkh,Neural machine translation model for translating from unknown (deu+eng+fra+por+spa) to Mon-Khmer languages (mkh).,True
opus-mt-tc-bible-big-deu_eng_fra_por_spa-mul,Helsinki-NLP/opus-mt-tc-bible-big-deu_eng_fra_por_spa-mul,deu eng fra por spa,aai aar aau abi abk acd ace acf ach acm acn acr ade adj ady aeu aey afb afh_Latn afr agd agn agu ahk aia aka akh akl_Latn akp alj aln alp alq alt alz ame amh ami ami_Latn amk amu amu_Latn ang_Latn ann anp anv aoz apc apr apu ara arc arg arq arz asm aso ast atg atj atq aui auy ava avk_Latn avn avu awa awb awx aze_Cyrl aze_Latn azg azz azz_Latn bak bal bal_Latn bam bam_Latn ban bar bas bav bba bbo bbr bcl bcw bef beh bel bem ben bep bex bfa bfd bfo bgr bhl bho bhz bib bik bim bis biv bjr bjv bku bkv blh blt blz bmh bmk bmq bmu bmv bnp bod boj bom_Latn bos_Cyrl bos_Latn bov box bpr bps bpy bqc bqj bqp bre bru brx bss btd bth bto bts btt btx bua bud bug buk bul bus bvy_Latn bwq bwu byn bzd bzh bzj bzt_Latn caa cab cac cak cak_Latn cat cay cbk_Latn cce cco ceb ces cfm cgc cha che chf chm chq chq_Latn chr chu chv chy chz cjk cjk_Latn cjo cjp cjp_Latn cjv cjy_Hans cjy_Hant ckb cko cle cme cmn cmn_Hans cmn_Hant cmo cmr cnh cnh_Latn cni cni_Latn cnl cnr cnr_Latn cnt cnw cok cop cop_Copt cor cos cot cpa cpu cre cre_Latn crh crn crs crx csb csb_Latn csk cso csy cta ctd ctp ctu cuc cui cuk cut cux cwe cwt cya cym czt daa dad dag_Latn dah dan ded deu dga dgi dig dik din diq div dje djk djk_Latn dng dni dnj dob dop dop_Latn drt_Latn dsb dsh dtp dty dug dws_Latn dww dyi dyo dyu dzo efi egl ell emi eng enm_Latn epo ess est eus ewe ext fai fal fao far fas fij fil fin fkv_Latn fon for fra frd frm_Latn fro_Latn frp frr fry fuc ful fur gag gah gaw gbm gcf gcf_Latn gde gej gfk ghs gil gkn gla gle glg glk glv gnd gng gog gor gos got got_Goth gqr grc grc_Grek grn gsw guc gud guh guj guo gur guw guw_Latn gux gvf gvl gwi gwr gym gyr hag hat hau hau_Latn haw hay hbo hbo_Hebr hbs hbs_Cyrl hbs_Latn hch heb heh her hif hif_Latn hig hil hin hin_Latn hla hlt hmn hne hnj hnn hns hoc hoc_Wara hot hrv hrx_Latn hsb hsn hui hun hus hus_Latn hvn hwc hye hyw hyw_Armn hyw_Latn iba ibo icr ido_Latn ifa ifb ife ifk ifu ify ign igs_Latn iii ike_Latn iku iku_Latn ile_Latn ilo imo ina_Latn ind inh inh_Latn ino iou ipi ipk iri irk iry isl ita itv ium ixl ixl_Latn izh izr jaa jaa_Bopo jaa_Hira jaa_Kana jaa_Yiii jac jak_Latn jam jav jav_Java jbo jbo_Cyrl jbo_Latn jbu jdt_Cyrl jmc jpa_Hebr jpn jun jvn kaa kab kac kal kam kan kao kas_Arab kas_Deva kat kau kaz kaz_Cyrl kbd kbm kbp kbp_Cans kbp_Ethi kbp_Geor kbp_Grek kbp_Hang kbp_Latn kbp_Mlym kbp_Yiii kdc kdj kdl kdn kea kek kek_Latn ken keo ker keu kew kez kgf kgk kha khm khz kia kik kin kir_Cyrl kjb kje kjh kjs kki kkj kle kma kmb kmg kmh kmo kmr kmu knc kne knj knk kno kog koi kok kom kon kpf kpg kpr kpv kpw kpz kqe kqf kqp kqw krc kri krj krl kru ksb ksh ksr ktb ktj kua kub kud kue kum kur_Arab kur_Cyrl kur_Latn kus kvn kwf kxc kxm kyc kyf kyg kyq kzf laa_Latn lac lad lad_Latn lah lao las lat lat_Latn lav law lbe lcm ldn_Latn lee lef lem leu lew lex lez lfn_Cyrl lfn_Latn lgg lhu lia lid lif lij lim lin lip lit liv_Latn ljp lkt lld_Latn lln lme lmo lnd lob lok lon lou_Latn lrc lsi ltz lua luc lug luo lus lut_Latn luy lzz_Latn maa mad mag mah mai maj mak mal mam mam_Latn maq mar mau maw max_Latn maz mbb mbf mbt mcb mcp mcu mda mdf med mee meh_Latn mek men meq mfe mfh mfi mfk mfq mfy mgd mgm_Latn mgo mhi mhl mhx mhy mib mic mie mif mig mih mil mio mit mix mix_Latn miy miz mjc mkd mks mlg mlh mlp mlt mmo mmx mna mnb mnf mnh mni mnr_Latn mnw moa mog moh mol mon mop mor mos mox mpg mpm mpt mpx mqb mqj mri mrj mrw msa msa_Arab msa_Latn msm mta muh mux muy mva mvp mvv_Latn mwc mwl mwm mwv mww mxb mxt mya myb myk myu myv myw myx mzk mzm mzn mzw mzz naf nak nap nas nau nav nbl nca nch ncj ncl ncu nde ndo nds ndz neb nep new nfr ngt_Latn ngu ngu_Latn nhe nhg nhg_Latn nhi nhn_Latn nhu nhw nhx nhy nia nif nii nij nim nin niu njm nlc nld nlv_Latn nmz nnb nnb_Latn nnh nno nnw nob nog non nop nor not nou nov_Latn npi npl npy nqo nsn nso nss nst_Latn nsu ntm ntp ntr nuj nus nuy nwb nwi nya nyf nyn nyo nyy nzi oar_Hebr oar_Syrc obo oci ofs_Latn oji_Latn oku okv old omw ood ood_Latn opm ori orm orv_Cyrl osp_Latn oss ota_Arab ota_Latn ota_Rohg ota_Syrc ota_Thaa ota_Yezi ote otk_Orkh otm otn otq ozm pab pad pag pai_Latn pal pam pan pan_Guru pao pap pau pbi pbl pcd pck_Latn pcm pdc pes pfl phn_Phnx pib pih pih_Latn pio pis pkb pli pls plt plw pmf pms pmy_Latn pne pnt_Grek poe poh pol por pot pot_Latn ppk ppk_Latn ppl_Latn prf prg_Latn prs ptp ptu pus pwg pww quc qya qya_Latn rai rap rav rej rhg_Latn rif_Latn rim rmy roh rom ron rop rro rue rug run rup rus rwo sab sag sah san san_Deva sas sat sat_Latn sba sbd sbl scn sco sda sdh seh ses sgb sgs sgw sgz shi shi_Latn shk shn shs_Latn shy_Latn sig sil sin sjn_Latn skr sld slk sll slv sma sme smk sml sml_Latn smn smo sna snc snd_Arab snp snw som sot soy spa spl spp sps sqi srd srm srn srp_Cyrl srq ssd ssw ssx stn stp stq sue suk sun sur sus suz swa swc swe swg swh swp sxb sxn syc syl_Sylo syr szb szl tab tac tah taj tam taq tat tbc tbl tbo tbz tcs tcy tel tem teo ter tet tfr tgk tgk_Cyrl tgk_Latn tgl tgl_Latn tgl_Tglg tgo tgp tha thk thv tig tik tim tir tkl tlb tlf tlh tlh_Latn tlj tlx tly_Latn tmc tmh tmr_Hebr tmw_Latn toh toi toi_Latn toj ton tpa tpi tpm tpw_Latn tpz trc trn trq trs trs_Latn trv tsn tso tsw ttc tte ttr tts tuc tuf tuk tuk_Latn tum tur tvl twb twi twu txa tyj_Latn tyv tzh tzj tzl tzl_Latn tzm_Latn tzm_Tfng tzo ubr ubu udm udu uig uig_Arab uig_Cyrl uig_Latn ukr umb urd usa usp usp_Latn uvl uzb_Cyrl uzb_Latn vag vec ven vep vie viv vls vmw vmy vol_Latn vot vot_Latn vro vun wae waj wal wap war wbm wbp wed wln wmt wmw wnc wnu wob wol wsk wuu wuv xal xcl_Armn xcl_Latn xed xho xmf xog xon xrb xsb xsi xsm xsr xtd xtm xuo yal yam yaq yaz yby ycl ycn yid yli yml yon yor yua yue_Hans yue_Hant yut yuw zam zap zea zgh zha zia zlm_Arab zlm_Latn zom zsm_Arab zsm_Latn zul zyp zza,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-bible-big-deu_eng_fra_por_spa-mul,Neural machine translation model for translating from unknown (deu+eng+fra+por+spa) to Multiple languages (mul). Note that many of the listed languages will not be well supported by the model as the training data is very limited for the majority of the languages. Translation performance varies a lot and for a large number of language pairs it will not work at all.,True
opus-mt-tc-bible-big-deu_eng_fra_por_spa-pqw,Helsinki-NLP/opus-mt-tc-bible-big-deu_eng_fra_por_spa-pqw,deu eng fra por spa,ace akl ban bcl bik btd bth bto bts btx bug ceb cgc cha dtp fil gor hil iba ify ilo ind jak jav krj ljp mad mak max mbb mbt mhy mlg mog mrw msa msm mta mwv nia nij obo pag pam pau plt rej sas sda sml sun sxn tbl tmw war zlm zsm,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-bible-big-deu_eng_fra_por_spa-pqw,Neural machine translation model for translating from unknown (deu+eng+fra+por+spa) to Western Malayo-Polynesian languages (pqw).,True
opus-mt-tc-bible-big-deu_eng_fra_por_spa-roa,Helsinki-NLP/opus-mt-tc-bible-big-deu_eng_fra_por_spa-roa,deu eng fra por spa,acf arg ast cat cbk cos crs egl ext fra frm fro frp fur gcf glg hat ita kea lad lij lld lmo lou mfe mol mwl nap oci osp pap pcd pms por roh ron rup scn spa srd vec wln,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-bible-big-deu_eng_fra_por_spa-roa,Neural machine translation model for translating from unknown (deu+eng+fra+por+spa) to Romance languages (roa).,True
opus-mt-tc-bible-big-deu_eng_fra_por_spa-sem,Helsinki-NLP/opus-mt-tc-bible-big-deu_eng_fra_por_spa-sem,deu eng fra por spa,acm afb amh apc ara arc arq arz hbo heb jpa mlt oar phn sgw syc syr tig tir tmr,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-bible-big-deu_eng_fra_por_spa-sem,Neural machine translation model for translating from unknown (deu+eng+fra+por+spa) to Semitic languages (sem).,True
opus-mt-tc-bible-big-deu_eng_fra_por_spa-sla,Helsinki-NLP/opus-mt-tc-bible-big-deu_eng_fra_por_spa-sla,deu eng fra por spa,bel bos bul ces chu cnr csb dsb hbs hrv hsb mkd orv pol rue rus slk slv srp szl ukr,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-bible-big-deu_eng_fra_por_spa-sla,Neural machine translation model for translating from unknown (deu+eng+fra+por+spa) to Slavic languages (sla).,True
opus-mt-tc-bible-big-deu_eng_fra_por_spa-trk,Helsinki-NLP/opus-mt-tc-bible-big-deu_eng_fra_por_spa-trk,deu eng fra por spa,alt aze bak chv crh gag kaa kaz kir kjh krc kum nog ota otk sah tat tuk tur tyv uig uzb,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-bible-big-deu_eng_fra_por_spa-trk,Neural machine translation model for translating from unknown (deu+eng+fra+por+spa) to Turkic languages (trk).,True
opus-mt-tc-bible-big-deu_eng_fra_por_spa-urj,Helsinki-NLP/opus-mt-tc-bible-big-deu_eng_fra_por_spa-urj,deu eng fra por spa,chm est fin fkv hun izh koi kom kpv krl liv mdf mrj myv sma sme smn udm vep vot vro,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-bible-big-deu_eng_fra_por_spa-urj,Neural machine translation model for translating from unknown (deu+eng+fra+por+spa) to Uralic languages (urj).,True
opus-mt-tc-bible-big-dra-deu_eng_nld,Helsinki-NLP/opus-mt-tc-bible-big-dra-deu_eng_nld,kan kru mal tam tcy tel,deu eng,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-bible-big-dra-deu_eng_nld,Neural machine translation model for translating from Dravidian languages (dra) to unknown (deu+eng+nld).,True
opus-mt-tc-bible-big-dra-en,Helsinki-NLP/opus-mt-tc-bible-big-dra-en,kan kru mal tam tcy tel,eng,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-bible-big-dra-en,Neural machine translation model for translating from Dravidian languages (dra) to English (en).,False
opus-mt-tc-bible-big-fiu-deu_eng_fra_por_spa,Helsinki-NLP/opus-mt-tc-bible-big-fiu-deu_eng_fra_por_spa,chm est fin fkv hun izh koi kom kpv krl liv mdf mrj myv sma sme smn udm vep vot vro,deu eng fra por spa,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-bible-big-fiu-deu_eng_fra_por_spa,Neural machine translation model for translating from Finno-Ugrian languages (fiu) to unknown (deu+eng+fra+por+spa).,True
opus-mt-tc-bible-big-fiu-en,Helsinki-NLP/opus-mt-tc-bible-big-fiu-en,chm est fin fkv hun izh koi kom kpv krl liv mdf mrj myv sma sme smn udm vot vro,eng,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-bible-big-fiu-en,Neural machine translation model for translating from Finno-Ugrian languages (fiu) to English (en).,False
opus-mt-tc-bible-big-fiu-fra_ita_por_spa,Helsinki-NLP/opus-mt-tc-bible-big-fiu-fra_ita_por_spa,chm est fin fkv hun krl liv mrj myv sme udm vep vro,fra ita por spa,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-bible-big-fiu-fra_ita_por_spa,Neural machine translation model for translating from Finno-Ugrian languages (fiu) to unknown (fra+ita+por+spa).,True
opus-mt-tc-bible-big-gem-deu_eng_fra_por_spa,Helsinki-NLP/opus-mt-tc-bible-big-gem-deu_eng_fra_por_spa,afr ang bar bis bzj dan deu djk drt eng enm fao frr fry gos got gsw hrx hwc icr isl jam kri ksh lim ltz nds nld nno nob non nor ofs pcm pdc pfl pih pis rop sco srm srn stq swe swg tcs tpi vls wae yid zea,deu eng fra por spa,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-bible-big-gem-deu_eng_fra_por_spa,Neural machine translation model for translating from Germanic languages (gem) to unknown (deu+eng+fra+por+spa).,True
opus-mt-tc-bible-big-gem-fra_ita_por_spa,Helsinki-NLP/opus-mt-tc-bible-big-gem-fra_ita_por_spa,afr ang bar bis bzj dan deu djk drt eng enm fao frr fry gos got gsw hrx hwc icr isl jam kri ksh lim ltz nds nld nno nob non nor pcm pis rop sco srm srn stq swe swg tcs tpi yid zea,fra ita por spa,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-bible-big-gem-fra_ita_por_spa,Neural machine translation model for translating from Germanic languages (gem) to unknown (fra+ita+por+spa).,True
opus-mt-tc-bible-big-gmq-deu_eng_fra_por_spa,Helsinki-NLP/opus-mt-tc-bible-big-gmq-deu_eng_fra_por_spa,dan fao isl nno nob non nor swe,deu eng fra por spa,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-bible-big-gmq-deu_eng_fra_por_spa,Neural machine translation model for translating from North Germanic languages (gmq) to unknown (deu+eng+fra+por+spa).,True
